"HASC_2","NAME_2","NAME_1","JC","BC6JC","complexBCJC","F1","BC2JAxBC3JC","BCJCxBCJA","BCJC","F2","BCJAxBCJA","BCJCxBC3JC","BCJCxBCJC","BCJA","JA","BC2JC","BCJCxBC2JC","complexBCJA","complexBCF","BC2JCxBC3JC","BC4JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"US.MI.OD","Oakland","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
"US.MI.SH","Shiawassee","Michigan",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,3,0
"US.MI.VA","Van Buren","Michigan",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998271,1,1,100
"US.MI.WE","Wexford","Michigan",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965449833333333,1,6,16.6666666666667
"US.MI.WS","Washtenaw","Michigan",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9965475,1,2,50
"US.MI.WY","Wayne","Michigan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"US.MN.AI","Aitkin","Minnesota",5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.939136666666667,1,6,16.6666666666667
"US.MN.AN","Anoka","Minnesota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994085,0,2,0
"US.MN.BR","Brown","Minnesota",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989409,1,1,100
"US.MN.CG","Chisago","Minnesota",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996888,0,5,0
"US.MN.CS","Cass","Minnesota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999952,0,2,0
"US.MN.CW","Crow Wing","Minnesota",7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.987441,1,8,12.5
"US.MN.DA","Dakota","Minnesota",14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.954728117647059,3,17,17.6470588235294
"US.MN.GO","Goodhue","Minnesota",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.956147166666667,1,6,16.6666666666667
"US.MN.HE","Hennepin","Minnesota",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999428,0,5,0
"US.MN.HO","Houston","Minnesota",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9519977,1,10,10
"US.MN.IS","Isanti","Minnesota",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.726547,1,1,100
"US.MN.LU","Le Sueur","Minnesota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"US.MN.MI","Mille Lacs","Minnesota",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999808666666667,0,3,0
"US.MN.MR","Morrison","Minnesota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961,0,2,0
"US.MN.MW","Mower","Minnesota",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.MN.NI","Nicollet","Minnesota",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999956,0,1,0
"US.MN.OL","Olmsted","Minnesota",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.937803777777778,1,9,11.1111111111111
"US.MN.PN","Pine","Minnesota",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999653333333333,0,3,0
"US.MN.RA","Ramsey","Minnesota",9,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.906886625,7,16,43.75
"US.MN.RI","Rice","Minnesota",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964666666667,0,6,0
"US.MN.SC","Scott","Minnesota",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.MN.SH","Sherburne","Minnesota",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760846,1,2,50
"US.MN.SI","Sibley","Minnesota",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961,0,1,0
"US.MN.SR","Stearns","Minnesota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999949,0,2,0
"US.MN.WB","Wabasha","Minnesota",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999958,0,1,0
"US.MN.WH","Washington","Minnesota",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996225,0,4,0
"US.MN.WN","Winona","Minnesota",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.MO.BO","Boone","Missouri",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.897821,1,3,33.3333333333333
"US.MO.CF","Crawford","Missouri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,1,0
"US.MO.CR","Carter","Missouri",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999652,0,5,0
"US.MO.HR","Howard","Missouri",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999634,0,10,0
"US.MO.IR","Iron","Missouri",17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.972220157894737,2,19,10.5263157894737
"US.MO.JE","Jefferson","Missouri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,1,0
"US.MO.MS","Maries","Missouri",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.347811,1,1,100
"US.MO.OR","Oregon","Missouri",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964739130435,0,23,0
"US.MO.PH","Phelps","Missouri",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999953571428571,0,7,0
"US.MO.PI","Pike","Missouri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.234269,1,1,100
"US.MO.RI","Ripley","Missouri",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,4,0
"US.MO.SG","Sainte Genevieve","Missouri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.MO.SL","Saint Louis","Missouri",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998626,0,5,0
"US.MO.SN","Shannon","Missouri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.MO.WG","Wright","Missouri",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8281135,1,4,25
"US.MS.DE","Desoto","Mississippi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999955,0,1,0
