"HASC_2","NAME_2","NAME_1","JC","complexBCJC","F1","BCJCxBCJA","F2xBCJC","BCJCxBC2JAvs","BC2JC","BCJC","F2","complexBCF","complexBCJA","BCJA","JA","BCJAxBCJA","BCJCxBC3JC","BC2JCxBC3JC","BC4JC","F1xBCJA","F1xF2","BCJCxBCJC","BC6JC","BCJCxBC2JC","BC2JAxBC3JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"US.IN.FU","Fulton","Indiana",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95516875,1,4,25
"US.IN.JN","Jennings","Indiana",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999857,0,4,0
"US.IN.KN","Knox","Indiana",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971485375,1,8,12.5
"US.IN.KO","Kosciusko","Indiana",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.593704333333333,2,3,66.6666666666667
"US.IN.LA","LaPorte","Indiana",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,4,0
"US.IN.LG","LaGrange","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.IN.LW","Lawrence","Indiana",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999907142857143,0,7,0
"US.IN.MG","Morgan","Indiana",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886563,2,3,66.6666666666667
"US.IN.MN","Martin","Indiana",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9915945,1,2,50
"US.IN.MO","Marion","Indiana",2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7738162,3,5,60
"US.IN.MS","Marshall","Indiana",4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.842443909090909,7,11,63.6363636363636
"US.IN.NO","Noble","Indiana",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8845595,2,4,50
"US.IN.OR","Orange","Indiana",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999252,0,5,0
"US.IN.PR","Porter","Indiana",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997595,0,2,0
"US.IN.SE","Steuben","Indiana",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631892333333333,2,3,66.6666666666667
"US.IN.SH","Shelby","Indiana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58624,1,1,100
"US.IN.SN","Saint Joseph","Indiana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736606,1,1,100
"US.IN.SR","Starke","Indiana",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847159,1,1,100
"US.IN.TP","Tippecanoe","Indiana",11,0,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.767354,6,18,33.3333333333333
"US.IN.VE","Vermillion","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999963,0,1,0
"US.IN.WL","Whitley","Indiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965,0,1,0
"US.IN.WY","Wayne","Indiana",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.839545,2,2,100
"US.KY.BK","Bracken","Kentucky",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7569905,1,2,50
"US.KY.BN","Barren","Kentucky",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861,1,1,100
"US.KY.CR","Carter","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,1,0
"US.KY.ED","Edmonson","Kentucky",53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987907407407407,1,54,1.85185185185185
"US.KY.FE","Fleming","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999962,0,1,0
"US.KY.GN","Green","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999962,0,1,0
"US.KY.HS","Harrison","Kentucky",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996425,0,4,0
"US.KY.HT","Hart","Kentucky",10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954909090909091,1,11,9.09090909090909
"US.KY.JS","Jessamine","Kentucky",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7616635,1,2,50
"US.KY.LI","Lewis","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
"US.KY.LO","Logan","Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0095,0,2,0
"US.KY.LR","Larue","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999807,0,1,0
"US.KY.MD","Madison","Kentucky",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889739,1,1,100
"US.KY.PO","Powell","Kentucky",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968267,1,6,16.6666666666667
"US.KY.TA","Taylor","Kentucky",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99988,0,2,0
"US.KY.TG","Trigg","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999769,0,1,0
"US.KY.TM","Trimble","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961,0,1,0
"US.MA.BE","Berkshire","Massachusetts",10,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.758411764705882,7,17,41.1764705882353
"US.MA.FR","Franklin","Massachusetts",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674,1,1,100
"US.MA.HS","Hampshire","Massachusetts",6,3,1,0,0,0,0,6,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0.63858064516129,25,31,80.6451612903226
"US.MA.WO","Worcester","Massachusetts",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988,0,2,0
"US.MD.WA","Washington","Maryland",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999718,0,1,0
"US.ME.AR","Aroostook","Maine",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"US.ME.KE","Kennebec","Maine",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.709335,5,5,100
