"","ID","z","index"
"875","1561",NA,"875"
"876","1562",NA,"876"
"877","1563",NA,"877"
"878","1564",NA,"878"
"879","1565",NA,"879"
"880","1566",NA,"880"
"881","1567","z0","881"
"882","1568",NA,"882"
"883","1569","z0","883"
"884","1570",NA,"884"
"885","1571",NA,"885"
"886","1572","z0","886"
"887","1573","z0","887"
"888","1574",NA,"888"
"889","1575",NA,"889"
"890","1576",NA,"890"
"891","1577",NA,"891"
"892","1578",NA,"892"
"893","1579","z0","893"
"894","1582","z0","894"
"895","1583",NA,"895"
"896","1584",NA,"896"
"897","1585",NA,"897"
"898","1586",NA,"898"
"899","1588",NA,"899"
"900","1589","z0","900"
"901","1590",NA,"901"
"902","1591",NA,"902"
"903","1592",NA,"903"
"904","1593",NA,"904"
"905","1594",NA,"905"
"906","1595","z0","906"
"907","1596","z0","907"
"908","1597","z0","908"
"909","1598",NA,"909"
"910","1599",NA,"910"
"911","1600","z0","911"
"912","1601",NA,"912"
"913","1602","z0","913"
"914","1603","z0","914"
"915","1604",NA,"915"
"916","1605",NA,"916"
"917","1606",NA,"917"
"918","1607",NA,"918"
"919","1608",NA,"919"
"920","1609",NA,"920"
"921","1610",NA,"921"
"922","1611",NA,"922"
"923","1612",NA,"923"
"924","1613",NA,"924"
"925","1614",NA,"925"
"926","1615",NA,"926"
"927","1616",NA,"927"
"928","1617",NA,"928"
"929","1618","z0","929"
"930","1619",NA,"930"
"931","1620",NA,"931"
"932","1621",NA,"932"
"933","1622",NA,"933"
"934","1623",NA,"934"
"935","1624",NA,"935"
"936","1625",NA,"936"
"937","1626",NA,"937"
"938","1627",NA,"938"
"939","1628","z0","939"
"940","1632","z0","940"
"941","1633",NA,"941"
"942","1634","z0","942"
"943","1635",NA,"943"
"944","1636",NA,"944"
"945","1637",NA,"945"
"946","1638",NA,"946"
"947","1639","z0","947"
"948","1640",NA,"948"
"949","1641",NA,"949"
"950","1642",NA,"950"
"951","1643",NA,"951"
"952","1644",NA,"952"
"953","1645","z0","953"
"954","1646",NA,"954"
"955","1647",NA,"955"
"956","1648","z0","956"
"957","1649","z0","957"
"958","1650","z0","958"
"959","1651",NA,"959"
"960","1652","z0","960"
"961","1653","z0","961"
"962","1654","z0","962"
"963","2465",NA,"963"
"964","2466",NA,"964"
"965","2467",NA,"965"
"966","2468",NA,"966"
"967","2469",NA,"967"
"968","2470",NA,"968"
"969","2471",NA,"969"
"970","2472",NA,"970"
"971","2473",NA,"971"
"972","2475",NA,"972"
"973","2476",NA,"973"
"974","2477",NA,"974"
"975","2478",NA,"975"
"976","2479",NA,"976"
"977","2480",NA,"977"
"978","2481",NA,"978"
"979","2482",NA,"979"
"980","2483",NA,"980"
"981","2484",NA,"981"
"982","2485",NA,"982"
"983","2487",NA,"983"
"984","2490",NA,"984"
"985","2491",NA,"985"
"986","2492",NA,"986"
"987","2493",NA,"987"
"988","2494",NA,"988"
"989","2495",NA,"989"
"990","2496",NA,"990"
"991","2497",NA,"991"
"992","2498",NA,"992"
"993","2499",NA,"993"
"994","2501",NA,"994"
"995","2502",NA,"995"
"996","2503",NA,"996"
"997","2504",NA,"997"
"998","2506",NA,"998"
"999","2507",NA,"999"
"1000","2508",NA,"1000"
"1001","2509",NA,"1001"
"1002","2510",NA,"1002"
"1003","2511",NA,"1003"
"1004","2512",NA,"1004"
"1005","2513",NA,"1005"
"1006","2514",NA,"1006"
"1007","2535",NA,"1007"
"1008","2536",NA,"1008"
"1009","2537",NA,"1009"
"1010","2538",NA,"1010"
"1011","2539",NA,"1011"
"1012","2515",NA,"1012"
"1013","2516",NA,"1013"
"1014","2517",NA,"1014"
"1015","2518",NA,"1015"
"1016","2519",NA,"1016"
"1017","2520",NA,"1017"
"1018","2521",NA,"1018"
"1019","2522",NA,"1019"
"1020","2523",NA,"1020"
"1021","2524",NA,"1021"
"1022","2525",NA,"1022"
"1023","2526",NA,"1023"
"1024","2527",NA,"1024"
"1025","2528",NA,"1025"
"1026","2529",NA,"1026"
"1027","2531",NA,"1027"
"1028","2533",NA,"1028"
"1029","2534",NA,"1029"
"1030","1102",NA,"1030"
"1031","1103",NA,"1031"
"1032","1104",NA,"1032"
"1033","1105",NA,"1033"
"1034","1106",NA,"1034"
"1035","1107",NA,"1035"
"1036","1108",NA,"1036"
"1037","1109",NA,"1037"
"1038","1110",NA,"1038"
"1039","1111",NA,"1039"
"1040","1112",NA,"1040"
"1041","1113",NA,"1041"
"1042","1114",NA,"1042"
"1043","1115",NA,"1043"
"1044","1116",NA,"1044"
"1045","1117",NA,"1045"
"1046","1297",NA,"1046"
"1047","1420",NA,"1047"
"1048","1421",NA,"1048"
"1049","1422",NA,"1049"
"1050","1423",NA,"1050"
"1051","1424",NA,"1051"
"1052","1425","z1","1052"
"1053","1426",NA,"1053"
"1054","1427",NA,"1054"
"1055","1428",NA,"1055"
"1056","1429",NA,"1056"
"1057","1430",NA,"1057"
"1058","1431",NA,"1058"
"1059","1432",NA,"1059"
"1060","1440",NA,"1060"
"1061","1441",NA,"1061"
"1062","1442",NA,"1062"
"1063","1753",NA,"1063"
"1064","1754",NA,"1064"
"1065","1755",NA,"1065"
"1066","1911",NA,"1066"
"1067","1912",NA,"1067"
"1068","1913",NA,"1068"
"1069","1914",NA,"1069"
"1070","1963",NA,"1070"
"1071","1964",NA,"1071"
"1072","1965",NA,"1072"
"1073","1966",NA,"1073"
"1074","1967",NA,"1074"
"1075","1968",NA,"1075"
"1076","1989",NA,"1076"
"1077","1990",NA,"1077"
"1078","1991",NA,"1078"
"1079","1993",NA,"1079"
